Week,Page Views,Unique Visitors,Created Sessions
12/29/19,53,8,2
1/5/20,501,49,37
1/12/20,934,67,36
1/19/20,850,53,27
1/26/20,626,42,30
2/2/20,1258,62,79
2/9/20,1925,83,130
2/16/20,1244,72,75
2/23/20,761,70,65
3/1/20,3028,108,210
3/8/20,2996,120,179
3/15/20,3947,138,226
3/22/20,3402,98,245
3/29/20,3102,82,185
4/5/20,3129,98,159
4/12/20,2853,98,127
4/19/20,1866,86,142
4/26/20,2452,108,136
5/3/20,1693,87,115
5/10/20,2518,114,172
5/17/20,2560,137,196
5/24/20,2063,120,138
5/31/20,3077,123,213
6/7/20,3329,125,209
6/14/20,2926,146,186
6/21/20,3140,161,260
6/28/20,2026,130,172
7/5/20,2764,168,195
7/12/20,2897,152,261
7/19/20,2666,124,290
7/26/20,3402,162,246
8/2/20,3026,161,176
8/9/20,2096,162,140
8/16/20,2274,178,142
8/23/20,2490,190,149
8/30/20,3356,213,233
9/6/20,2326,178,211
9/13/20,3184,212,508
9/20/20,3978,197,795
9/27/20,3197,184,571
10/4/20,3841,217,894
10/11/20,4144,232,637
10/18/20,3520,197,565
10/25/20,3713,211,609
11/1/20,3194,203,413
11/8/20,3448,220,595
11/15/20,4062,210,529
11/22/20,3684,164,698
11/29/20,4343,221,704
12/6/20,3375,219,496
12/13/20,3324,185,464
12/20/20,1593,103,271
12/27/20,1013,61,217
1/3/21,2992,155,381
1/10/21,4957,219,631
1/17/21,4595,227,516
1/24/21,4675,234,608
1/31/21,4039,240,546
2/7/21,4224,263,583
2/14/21,3492,248,442
2/21/21,5124,297,792
2/28/21,4425,289,602
3/7/21,5642,286,261
3/14/21,4062,245,249
3/21/21,4177,246,212
3/28/21,3456,214,206
4/4/21,3595,210,158
4/11/21,4395,267,271
4/18/21,4746,306,278
4/25/21,4145,291,218
5/2/21,4810,299,238
5/9/21,4146,259,263
5/16/21,5940,289,534
5/23/21,5940,289,592
5/30/21,5913,295,413
6/6/21,6295,325,236
6/13/21,5084,307,231
6/20/21,5476,321,271
6/27/21,5635,326,314
7/4/21,4931,284,220
7/11/21,5241,344,189
7/18/21,6111,328,237
7/25/21,6562,347,266
8/1/21,7456,379,273
8/8/21,7735,409,276
8/15/21,7195,390,330
8/22/21,7029,390,290
8/29/21,7275,379,240
9/5/21,6896,358,340
9/12/21,7788,377,264
9/19/21,7382,343,281
9/26/21,7828,376,292
10/3/21,7028,354,339
10/10/21,5961,361,316
10/17/21,7133,384,325
10/24/21,6726,394,332
10/31/21,6822,383,303
11/7/21,6967,375,318
11/14/21,6987,401,261
11/21/21,7008,346,231
11/28/21,1544,155,65